,analysis,Analysis_tokens,Attribute_name,Attribute_tokens,Cluster,cls_Cluster
3463,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Minor Peak>=LOQ,ce - sd ##s ( reduced ) minor peak > = lo ##q,9,21
3464,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peaks 9 >=LOQ,ce - sd ##s ( reduced ) minor peaks 9 > = lo ##q,9,21
3465,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak2(>LOQ),ce - sd ##s ( non - reduced ) minor peak ##2 ( > lo ##q ),9,25
3466,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Migration Time of Minor Peak 1 >= LOQ,ce - sd ##s ( non - reduced ) migration time of minor peak 1 > = lo ##q,9,10
3467,CE_SDS,ce _ sd ##s,CE-SDS 5 (result)(Non-reduced)Unknown Minor peak >= LOQ 1,ce - sd ##s 5 ( result ) ( non - reduced ) unknown minor peak > = lo ##q 1,9,21
3468,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak 7 >=LOQ,ce - sd ##s ( reduced ) unknown minor peak 7 > = lo ##q,9,21
3469,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)   Minor Peak 2>LOQ,ce - sd ##s ( reduced ) minor peak 2 > lo ##q,9,25
3470,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (R) Unknown Minor Peak >= LOQ 4,ce - sd ##s ( r ) unknown minor peak > = lo ##q 4,9,21
3471,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak 5 >=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 5 > = lo ##q,9,21
3472,BIO_CE-SDS_R,bio _ ce - sd ##s _ r,CE-SDS (Reduced) Unknown Minor Peak >= LOQ 1,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 1,9,10
3473,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Unknown Minor Peak  >=LOQ 2,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 2,9,21
3474,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Unknown Minor Peak  >=LOQ 1,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 1,9,21
3475,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak 2 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 2 > = lo ##q,9,3
3476,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ3,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q ##3,9,21
3477,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)  Minor Peak >= QL 2,ce - sd ##s ( reduced ) minor peak > = q ##l 2,9,21
3478,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (R) Unknown Minor Peak >= LOQ 1,ce - sd ##s ( r ) unknown minor peak > = lo ##q 1,9,21
3479,BIO_CE-SDS_R,bio _ ce - sd ##s _ r,CE-SDS (R) Unknown Minor Peak >=LOQ 1,ce - sd ##s ( r ) unknown minor peak > = lo ##q 1,9,21
3480,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) minor peak >=LOQ 3,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 3,9,21
3481,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) minor peak >=LOQ 2,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 2,9,21
3482,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) minor peak >=LOQ 1,ce - sd ##s ( reduced ) minor peak > = lo ##q 1,9,21
3483,BIO_CE-SDS_R,bio _ ce - sd ##s _ r,CE-SDS (Reduced) Unknown minor peak 1 >=LOQ,ce - sd ##s ( reduced ) unknown minor peak 1 > = lo ##q,9,10
3484,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor peak >= LOQ 2,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 2,9,21
3485,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) %: Undefined Peak_8>=LOQ,ce - sd ##s ( reduced ) % : und ##efined peak _ 8 > = lo ##q,9,3
3486,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) %: Undefined Peak_4>=LOQ,ce - sd ##s ( reduced ) % : und ##efined peak _ 4 > = lo ##q,9,3
3487,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (R) Unknown Minor Peak >= LOQ 3,ce - sd ##s ( r ) unknown minor peak > = lo ##q 3,9,21
3488,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak 1 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 1 > = lo ##q,9,3
3489,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak 3 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 3 > = lo ##q,9,3
3490,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak 4 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 4 > = lo ##q,9,3
3491,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Minor Peak3 (>LOQ),ce - sd ##s ( reduced ) minor peak ##3 ( > lo ##q ),9,25
3492,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)  Minor Peak >= QL 3,ce - sd ##s ( reduced ) minor peak > = q ##l 3,9,21
3493,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) Minor peak X>= LOQ,ce - sd ##s ( non - reduced ) minor peak x > = lo ##q,9,3
3494,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced)  Minor Peak 1 (> LOQ),ce - sd ##s ( non - reduced ) minor peak 1 ( > lo ##q ),9,25
3495,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peak 1 NLT LOQ,ce - sd ##s ( reduced ) minor peak 1 nl ##t lo ##q,9,1
3496,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor peak 1 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 1 > = lo ##q,9,3
3497,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (R) - Corrected Area% for each minor peak >= LOQ,ce - sd ##s ( r ) - corrected area % for each minor peak > = lo ##q,9,10
3498,BIO_CE-SDS_R,bio _ ce - sd ##s _ r,CE-SDS (Reduced) Unknown minor peak x2 >=LOQ,ce - sd ##s ( reduced ) unknown minor peak x ##2 > = lo ##q,9,10
3499,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peak1 >LOQ,ce - sd ##s ( reduced ) minor peak ##1 > lo ##q,9,25
3500,BIO_CE-SDS_NR,bio _ ce - sd ##s _ nr,CE-SDS (Non-Reduced) minor peak x >=LOQ,ce - sd ##s ( non - reduced ) minor peak x > = lo ##q,9,3
3501,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 13,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 13,9,21
3502,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q,9,21
3503,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)Unknown Minor peak 4 >= LOQ,ce - sd ##s ( reduced ) unknown minor peak 4 > = lo ##q,9,21
3504,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 4,ce - sd ##s ( reduced ) re ##l . rent ##ent ##ion time of minor peak > = lo ##q 4,9,21
3505,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 1,ce - sd ##s ( reduced ) re ##l . rent ##ent ##ion time of minor peak > = lo ##q 1,9,10
3506,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 3,ce - sd ##s ( reduced ) re ##l . rent ##ent ##ion time of minor peak > = lo ##q 3,9,10
3507,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peaks 4 >=LOQ,ce - sd ##s ( reduced ) minor peaks 4 > = lo ##q,9,21
3508,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peak 1 (>=LOQ),ce - sd ##s ( reduced ) minor peak 1 ( > = lo ##q ),9,25
3509,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ6,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##6,9,21
3510,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ4,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##4,9,21
3511,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) minor peak >=LOQ 3,ce - sd ##s ( reduced ) minor peak > = lo ##q 3,9,21
3512,CE_SDS,ce _ sd ##s,CE-SDS (R) Minor Peak 2 >=QL,ce - sd ##s ( r ) minor peak 2 > = q ##l,9,21
3513,CE_SDS,ce _ sd ##s,CE-SDS (R) Minor Peak 1 >=QL,ce - sd ##s ( r ) minor peak 1 > = q ##l,9,21
3514,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)   Minor Peak 4>LOQ,ce - sd ##s ( reduced ) minor peak 4 > lo ##q,9,25
3515,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 3,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 3,9,21
3516,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak>=LOQ 4,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 4,9,21
3517,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak 3 >=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 3 > = lo ##q,9,21
3518,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak 4 >=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 4 > = lo ##q,9,21
3519,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS 8 (Reduced)Unknown Minor peak >= LOQ 3,ce - sd ##s 8 ( reduced ) unknown minor peak > = lo ##q 3,9,21
3520,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Minor Peak NGHC >LOQ,ce - sd ##s ( non - reduced ) minor peak ng ##hc > lo ##q,9,25
3521,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= QL ,ce - sd ##s ( non - reduced ) unknown minor peak > = q ##l,9,3
3522,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peaks 5 >=LOQ,ce - sd ##s ( reduced ) minor peaks 5 > = lo ##q,9,21
3523,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Unknown Minor Peak  >=LOQ 3,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 3,9,21
3524,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 3,ce - sd ##s ( non - reduced ) unknown minor peak < lo ##q 3,9,21
3525,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak>=LOQ 5,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 5,9,21
3526,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak>=LOQ 6,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 6,9,21
3527,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) minor peak >=LOQ 1,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 1,9,3
3528,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 15,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 15,9,21
3529,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 8,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 8,9,21
3530,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 4,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 4,9,21
3531,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS 6 (Reduced)Unknown Minor peak >= LOQ 1,ce - sd ##s 6 ( reduced ) unknown minor peak > = lo ##q 1,9,21
3532,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak 4>=LOQ,ce - sd ##s ( reduced ) unknown minor peak 4 > = lo ##q,9,21
3533,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) Rel. rent. time of minor peak >= LOQ 1,ce - sd ##s ( non - reduced ) re ##l . rent . time of minor peak > = lo ##q 1,9,3
3534,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) Rel. rent. time of minor peak >= LOQ 2,ce - sd ##s ( non - reduced ) re ##l . rent . time of minor peak > = lo ##q 2,9,3
3535,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peaks1 (>LOQ),ce - sd ##s ( non - reduced ) minor peaks ##1 ( > lo ##q ),9,25
3536,CE_SDS_2,ce _ sd ##s _ 2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 4,ce - sd ##sa ( reduced ) a unknown minor peak > = lo ##q 4,9,17
3537,CE_SDS_2,ce _ sd ##s _ 2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 1,ce - sd ##sa ( reduced ) a unknown minor peak > = lo ##q 1,9,21
3538,CE_SDS_2,ce _ sd ##s _ 2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 3,ce - sd ##sa ( reduced ) a unknown minor peak > = lo ##q 3,9,17
3539,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 2>=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 2 > = lo ##q,9,21
3540,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Minor Peak2 (>LOQ),ce - sd ##s ( reduced ) minor peak ##2 ( > lo ##q ),9,25
3541,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)Unknown Minor peak >= LOQ 7,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 7,9,21
3542,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak >= LOQ 7,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 7,9,21
3543,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Minor peak 3 >=LOQ,ce - sd ##s ( reduced ) minor peak 3 > = lo ##q,9,21
3544,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >=LOQ4,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q ##4,9,21
3545,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >=LOQ3,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q ##3,9,21
3546,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak 3 (>=LOQ),ce - sd ##s ( non - reduced ) minor peak 3 ( > = lo ##q ),9,25
3547,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak 6 >=LOQ,ce - sd ##s ( reduced ) unknown minor peak 6 > = lo ##q,9,21
3548,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)   Minor Peak 3>LOQ,ce - sd ##s ( reduced ) minor peak 3 > lo ##q,9,25
3549,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peaks )>LOQ),ce - sd ##s ( reduced ) minor peaks ) > lo ##q ),9,25
3550,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced)Unknown Minor peak 4 >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 4 > = lo ##q,9,21
3551,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 2,ce - sd ##s ( reduced ) re ##l . rent ##ent ##ion time of minor peak > = lo ##q 2,9,10
3552,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peaks2 (>LOQ),ce - sd ##s ( non - reduced ) minor peaks ##2 ( > lo ##q ),9,25
3553,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peaks5 (>LOQ),ce - sd ##s ( non - reduced ) minor peaks ##5 ( > lo ##q ),9,25
3554,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peaks3 (>LOQ),ce - sd ##s ( non - reduced ) minor peaks ##3 ( > lo ##q ),9,25
3555,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 4,ce - sd ##s ( non - reduced ) unknown minor peak < lo ##q 4,9,21
3556,BIO_CE-SDS_NR,bio _ ce - sd ##s _ nr,CE-SDS (Non-Reduced) minor peak 2 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 2 > = lo ##q,9,10
3557,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peak 3 (>=LOQ),ce - sd ##s ( reduced ) minor peak 3 ( > = lo ##q ),9,25
3558,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peak 5 (>=LOQ),ce - sd ##s ( non - reduced ) minor peak 5 ( > = lo ##q ),9,25
3559,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (R) Unknown Minor Peak >= LOQ 2,ce - sd ##s ( r ) unknown minor peak > = lo ##q 2,9,21
3560,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS 6 (Reduced) Unknown Minor Peak >= LOQ1,ce - sd ##s 6 ( reduced ) unknown minor peak > = lo ##q ##1,9,21
3561,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak 4>= LOQ,ce - sd ##s ( reduced ) unknown minor peak 4 > = lo ##q,9,21
3562,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 7,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 7,9,21
3563,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) minor peak >=LOQ 3,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 3,9,21
3564,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) minor peak >=LOQ1,ce - sd ##s ( non - reduced ) minor peak > = lo ##q ##1,9,21
3565,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor peak 3 >= LOQ,ce - sd ##s ( non - reduced ) minor peak 3 > = lo ##q,9,3
3566,CE_SDS_2,ce _ sd ##s _ 2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 2,ce - sd ##sa ( reduced ) a unknown minor peak > = lo ##q 2,9,17
3567,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ1,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##1,9,21
3568,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Unknown Minor Peak>=LOQ 6,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 6,9,21
3569,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 5,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 5,9,21
3570,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Minor Peak4 (>=LOQ),ce - sd ##s ( reduced ) minor peak ##4 ( > = lo ##q ),9,25
3571,BIO_CE-SDS_NR,bio _ ce - sd ##s _ nr,CE-SDS (Non-Reduced) minor peak 1 >=LOQ,ce - sd ##s ( non - reduced ) minor peak 1 > = lo ##q,9,3
3572,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Unknown Minor Peak  >=LOQ 3,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 3,9,21
3573,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >= QL 5,ce - sd ##s ( reduced ) unknown minor peak > = q ##l 5,9,17
3574,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown minor peak >= LOQ 4,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 4,9,21
3575,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced)Unknown Minor peak 1 >= LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 1 > = lo ##q,9,3
3576,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) minor peak >=LOQ 3,ce - sd ##s ( reduced ) minor peak > = lo ##q 3,9,21
3577,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) minor peak >=LOQ 1,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 1,9,3
3578,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) minor peak >=LOQ 4,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 4,9,21
3579,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Minor peak 4 >=LOQ,ce - sd ##s ( reduced ) minor peak 4 > = lo ##q,9,21
3580,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS 7 (Reduced)Unknown Minor peak >= LOQ 2,ce - sd ##s 7 ( reduced ) unknown minor peak > = lo ##q 2,9,17
3581,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-Reduced) Minor Peak >= QL 4,ce - sd ##s ( non - reduced ) minor peak > = q ##l 4,9,21
3582,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Minor Peaks4 (>LOQ),ce - sd ##s ( non - reduced ) minor peaks ##4 ( > lo ##q ),9,25
3583,CE_SDS_2,ce _ sd ##s _ 2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 5,ce - sd ##sa ( reduced ) a unknown minor peak > = lo ##q 5,9,17
3584,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ3,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##3,9,21
3585,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ2,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##2,9,21
3586,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak >=LOQ1,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q ##1,9,21
3587,CE_SDS,ce _ sd ##s,CE-SDSÂ (Non-Reduced)Â Unknown Minor Peak >= LOQ 2,ce - sd ##sa ( non - reduced ) a unknown minor peak > = lo ##q 2,9,21
3588,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 4,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 4,9,21
3589,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Migration Time of Minor Peak 1 >=LOQ,ce - sd ##s ( non - reduced ) migration time of minor peak 1 > = lo ##q,9,10
3590,CE_SDS,ce _ sd ##s,CE-SDS (R) Minor Peak >=QL,ce - sd ##s ( r ) minor peak > = q ##l,9,21
3591,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ5,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q ##5,9,21
3592,CE_SDS,ce _ sd ##s,CE-SDS 2 (Non-Reduced)Minor Peak 2>=LOQ,ce - sd ##s 2 ( non - reduced ) minor peak 2 > = lo ##q,9,21
3593,CE_SDS,ce _ sd ##s,CE-SDS 1 (Non-Reduced)Minor  Peak 1>=LOQ,ce - sd ##s 1 ( non - reduced ) minor peak 1 > = lo ##q,9,3
3594,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)   Minor Peak 5>LOQ,ce - sd ##s ( reduced ) minor peak 5 > lo ##q,9,25
3595,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown minor peak >= LOQ 9,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 9,9,21
3596,BIO_CE-SDS_R,bio _ ce - sd ##s _ r,CE-SDS (Reduced) Unknown Minor Peak 1 >= DL,ce - sd ##s ( reduced ) unknown minor peak 1 > = dl,9,10
3597,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Unknown Minor Peak>=LOQ 4,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 4,9,21
3598,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) Unknown Minor Peak>=LOQ 5,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 5,9,21
3599,SDS_PAGE,sd ##s _ page,SDS-PAGE Additional Bands >or = to 2.0 % (Reduced),sd ##s - page additional bands > or = to 2 . 0 % ( reduced ),9,25
3600,CE_SDS,ce _ sd ##s,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_13 >=LOQ,ce - sd ##s ( red . ) re ##l . retention time : und ##efined peak _ 13 > = lo ##q,9,3
3601,CE_SDS,ce _ sd ##s,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_11 >=LOQ,ce - sd ##s ( red . ) re ##l . retention time : und ##efined peak _ 11 > = lo ##q,9,3
3602,CE_SDS,ce _ sd ##s,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_10 >=LOQ,ce - sd ##s ( red . ) re ##l . retention time : und ##efined peak _ 10 > = lo ##q,9,3
3603,CE_SDS,ce _ sd ##s,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 5,ce - sd ##s ( non - reduced ) unknown minor peak > = lo ##q 5,9,21
3604,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 4 >=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 4 > = lo ##q,9,21
3605,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Relative retention time of minor peak>=LOQ5,ce - sd ##s ( reduced ) relative retention time of minor peak > = lo ##q ##5,9,10
3606,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Relative retention time of minor peak>=LOQ3,ce - sd ##s ( reduced ) relative retention time of minor peak > = lo ##q ##3,9,10
3607,CE_SDS,ce _ sd ##s,CE-SDS (Reduced) minor peak >=LOQ 5,ce - sd ##s ( reduced ) minor peak > = lo ##q 5,9,21
3608,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown minor peak >= LOQ 5,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 5,9,17
3609,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown minor peak >= LOQ 7,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 7,9,17
3610,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Reduced) Unknown minor peak >= LOQ 6,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 6,9,17
3611,CE_SDS,ce _ sd ##s,CE-SDS (Non-Reduced) Unknown Minor Peak 3>=LOQ,ce - sd ##s ( non - reduced ) unknown minor peak 3 > = lo ##q,9,21
3612,CE_SDS_2,ce _ sd ##s _ 2,CE-SDS (Non-reduced) minor peak >=LOQ 2,ce - sd ##s ( non - reduced ) minor peak > = lo ##q 2,9,21
3613,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)Unknown Minor peak >= LOQ 8,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 8,9,21
3614,CE_SDS,ce _ sd ##s,CE-SDS (Reduced)Unknown Minor peak >= LOQ 9,ce - sd ##s ( reduced ) unknown minor peak > = lo ##q 9,9,21
