Unnamed: 0,Analysis,Attribute,Standard names,Unnamed: 4
235,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area,icief main peak,nan
235,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area,icief main peak,nan
235,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area,icief main peak,nan
235,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area,icief main peak,nan
236,Isoelectric Focusing Capillary Electrophoresis,icief main peak a%,icief main peak,nan
236,icief,Isoelectric Focusing Capillary Electrophoresis main peak a%,icief main peak,nan
236,Isoelectric Focusing Capillary Electrophoresis,icief main peak a%,icief main peak,nan
236,icief,Isoelectric Focusing Capillary Electrophoresis main peak a%,icief main peak,nan
237,bio_Isoelectric Focusing Capillary Electrophoresis,icief nivo main peak area,icief main peak,nan
237,bio_icief,Isoelectric Focusing Capillary Electrophoresis nivo main peak area,icief main peak,nan
237,bio_Isoelectric Focusing Capillary Electrophoresis,icief nivo main peak area,icief main peak,nan
237,bio_icief,Isoelectric Focusing Capillary Electrophoresis nivo main peak area,icief main peak,nan
238,Isoelectric Focusing Capillary Electrophoresis,icief (result)icief main peak area,icief main peak,nan
238,icief,Isoelectric Focusing Capillary Electrophoresis (result)icief main peak area,icief main peak,nan
238,Isoelectric Focusing Capillary Electrophoresis,icief (result)icief main peak area,icief main peak,nan
238,icief,Isoelectric Focusing Capillary Electrophoresis (result)icief main peak area,icief main peak,nan
239,Isoelectric Focusing Capillary Electrophoresis,icief main peak pl,icief main peak,nan
239,icief,Isoelectric Focusing Capillary Electrophoresis main peak pl,icief main peak,nan
239,Isoelectric Focusing Capillary Electrophoresis,icief main peak pl,icief main peak,nan
239,icief,Isoelectric Focusing Capillary Electrophoresis main peak pl,icief main peak,nan
240,Isoelectric Focusing Capillary Electrophoresis,icief main peak area nivolumab,icief main peak,nan
240,icief,Isoelectric Focusing Capillary Electrophoresis main peak area nivolumab,icief main peak,nan
240,Isoelectric Focusing Capillary Electrophoresis,icief main peak area nivolumab,icief main peak,nan
240,icief,Isoelectric Focusing Capillary Electrophoresis main peak area nivolumab,icief main peak,nan
241,Isoelectric Focusing Capillary Electrophoresis,icief main peak area relatlimab,icief main peak,nan
241,icief,Isoelectric Focusing Capillary Electrophoresis main peak area relatlimab,icief main peak,nan
241,Isoelectric Focusing Capillary Electrophoresis,icief main peak area relatlimab,icief main peak,nan
241,icief,Isoelectric Focusing Capillary Electrophoresis main peak area relatlimab,icief main peak,nan
242,Isoelectric Focusing Capillary Electrophoresis,icief (main peak pl),icief main peak,nan
242,icief,Isoelectric Focusing Capillary Electrophoresis (main peak pl),icief main peak,nan
242,Isoelectric Focusing Capillary Electrophoresis,icief (main peak pl),icief main peak,nan
242,icief,Isoelectric Focusing Capillary Electrophoresis (main peak pl),icief main peak,nan
243,Isoelectric Focusing Capillary Electrophoresis,icief (main peak area),icief main peak,nan
243,icief,Isoelectric Focusing Capillary Electrophoresis (main peak area),icief main peak,nan
243,Isoelectric Focusing Capillary Electrophoresis,icief (main peak area),icief main peak,nan
243,icief,Isoelectric Focusing Capillary Electrophoresis (main peak area),icief main peak,nan
244,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peak group cumulative area),icief main peak,nan
244,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peak group cumulative area),icief main peak,nan
244,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peak group cumulative area),icief main peak,nan
244,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peak group cumulative area),icief main peak,nan
245,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (anti-lag3),icief main peak,nan
245,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (anti-lag3),icief main peak,nan
245,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (anti-lag3),icief main peak,nan
245,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (anti-lag3),icief main peak,nan
246,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (nivo),icief main peak,nan
246,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (nivo),icief main peak,nan
246,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (nivo),icief main peak,nan
246,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (nivo),icief main peak,nan
247,bio_Isoelectric Focusing Capillary Electrophoresis,main peak [icief main peak area {alag3},icief main peak,nan
247,bio_Isoelectric Focusing Capillary Electrophoresis,main peak [icief main peak area {alag3},icief main peak,nan
248,Isoelectric Focusing Capillary Electrophoresis,icief main peaks lag3 cumulative area,icief main peak,nan
248,icief,Isoelectric Focusing Capillary Electrophoresis main peaks lag3 cumulative area,icief main peak,nan
248,Isoelectric Focusing Capillary Electrophoresis,icief main peaks lag3 cumulative area,icief main peak,nan
248,icief,Isoelectric Focusing Capillary Electrophoresis main peaks lag3 cumulative area,icief main peak,nan
249,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) nivolumab,icief main peak,nan
249,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) nivolumab,icief main peak,nan
249,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) nivolumab,icief main peak,nan
249,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) nivolumab,icief main peak,nan
250,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peak),icief main peak,nan
250,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peak),icief main peak,nan
250,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peak),icief main peak,nan
250,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peak),icief main peak,nan
251,Isoelectric Focusing Capillary Electrophoresis,icief: main peak,icief main peak,nan
251,Isoelectric Focusing Capillary Electrophoresis,icief: main peak,icief main peak,nan
252,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area {nivo},icief main peak,nan
252,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area {nivo},icief main peak,nan
252,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area {nivo},icief main peak,nan
252,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area {nivo},icief main peak,nan
253,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area {alag3},icief main peak,nan
253,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area {alag3},icief main peak,nan
253,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area {alag3},icief main peak,nan
253,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area {alag3},icief main peak,nan
254,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms-986016,icief main peak,nan
254,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms-986016,icief main peak,nan
254,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms-986016,icief main peak,nan
254,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms-986016,icief main peak,nan
255,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms-936558,icief main peak,nan
255,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms-936558,icief main peak,nan
255,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms-936558,icief main peak,nan
255,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms-936558,icief main peak,nan
256,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peaks area,icief main peak,nan
256,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peaks area,icief main peak,nan
256,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peaks area,icief main peak,nan
256,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peaks area,icief main peak,nan
257,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak a%,icief main peak,nan
257,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak a%,icief main peak,nan
257,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak a%,icief main peak,nan
257,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak a%,icief main peak,nan
258,Isoelectric Focusing Capillary Electrophoresis,icief (result) [icief main peaks cumulative area],icief main peak,nan
258,icief,Isoelectric Focusing Capillary Electrophoresis (result) [icief main peaks cumulative area],icief main peak,nan
258,Isoelectric Focusing Capillary Electrophoresis,icief (result) [icief main peaks cumulative area],icief main peak,nan
258,icief,Isoelectric Focusing Capillary Electrophoresis (result) [icief main peaks cumulative area],icief main peak,nan
259,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak area %,icief main peak,nan
259,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak area %,icief main peak,nan
259,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak area %,icief main peak,nan
259,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak area %,icief main peak,nan
260,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area,icief main peak,nan
260,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area,icief main peak,nan
260,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area,icief main peak,nan
260,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area,icief main peak,nan
261,Isoelectric Focusing Capillary Electrophoresis,identity (icief)  (main peak pi),icief main peak,nan
261,Isoelectric Focusing Capillary Electrophoresis,identity (icief)  (main peak pi),icief main peak,nan
262,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area [nivo],icief main peak,nan
262,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area [nivo],icief main peak,nan
262,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area [nivo],icief main peak,nan
262,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area [nivo],icief main peak,nan
263,Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area bms 986016,icief main peak,nan
263,icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area bms 986016,icief main peak,nan
263,Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area bms 986016,icief main peak,nan
263,icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area bms 986016,icief main peak,nan
264,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peaks,icief main peak,nan
264,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peaks,icief main peak,nan
264,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peaks,icief main peak,nan
264,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peaks,icief main peak,nan
265,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area %,icief main peak,nan
265,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area %,icief main peak,nan
265,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak cumulative area %,icief main peak,nan
265,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area %,icief main peak,nan
266,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area{nivo},icief main peak,nan
266,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area{nivo},icief main peak,nan
266,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area{nivo},icief main peak,nan
266,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area{nivo},icief main peak,nan
267,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area),icief main peak,nan
267,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area),icief main peak,nan
267,bio_Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area),icief main peak,nan
267,bio_icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area),icief main peak,nan
268,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) ipilimumab,icief main peak,nan
268,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) ipilimumab,icief main peak,nan
268,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) ipilimumab,icief main peak,nan
268,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) ipilimumab,icief main peak,nan
269,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (nivolumab),icief main peak,nan
269,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (nivolumab),icief main peak,nan
269,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (nivolumab),icief main peak,nan
269,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (nivolumab),icief main peak,nan
270,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak relatlimab (% of cumulative area),icief main peak,nan
270,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak relatlimab (% of cumulative area),icief main peak,nan
270,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak relatlimab (% of cumulative area),icief main peak,nan
270,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak relatlimab (% of cumulative area),icief main peak,nan
271,Isoelectric Focusing Capillary Electrophoresis,icief (charge heterogeneity) main peak,icief main peak,nan
271,icief,Isoelectric Focusing Capillary Electrophoresis (charge heterogeneity) main peak,icief main peak,nan
271,Isoelectric Focusing Capillary Electrophoresis,icief (charge heterogeneity) main peak,icief main peak,nan
271,icief,Isoelectric Focusing Capillary Electrophoresis (charge heterogeneity) main peak,icief main peak,nan
272,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (relatlimab),icief main peak,nan
272,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (relatlimab),icief main peak,nan
272,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak area (relatlimab),icief main peak,nan
272,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak area (relatlimab),icief main peak,nan
273,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak,icief main peak,nan
273,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak,icief main peak,nan
273,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak,icief main peak,nan
273,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak,icief main peak,nan
274,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) ipi,icief main peak,nan
274,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) ipi,icief main peak,nan
274,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) ipi,icief main peak,nan
274,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) ipi,icief main peak,nan
275,Isoelectric Focusing Capillary Electrophoresis,icief main peaks nivo cumulative area,icief main peak,nan
275,icief,Isoelectric Focusing Capillary Electrophoresis main peaks nivo cumulative area,icief main peak,nan
275,Isoelectric Focusing Capillary Electrophoresis,icief main peaks nivo cumulative area,icief main peak,nan
275,icief,Isoelectric Focusing Capillary Electrophoresis main peaks nivo cumulative area,icief main peak,nan
276,Isoelectric Focusing Capillary Electrophoresis,icief (main peak cumulative area),icief main peak,nan
276,icief,Isoelectric Focusing Capillary Electrophoresis (main peak cumulative area),icief main peak,nan
276,Isoelectric Focusing Capillary Electrophoresis,icief (main peak cumulative area),icief main peak,nan
276,icief,Isoelectric Focusing Capillary Electrophoresis (main peak cumulative area),icief main peak,nan
277,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) nivo,icief main peak,nan
277,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) nivo,icief main peak,nan
277,Isoelectric Focusing Capillary Electrophoresis,icief (main peaks cumulative area) nivo,icief main peak,nan
277,icief,Isoelectric Focusing Capillary Electrophoresis (main peaks cumulative area) nivo,icief main peak,nan
278,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak area,icief main peak,nan
278,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak area,icief main peak,nan
278,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak area,icief main peak,nan
278,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak area,icief main peak,nan
279,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms 986016,icief main peak,nan
279,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms 986016,icief main peak,nan
279,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms 986016,icief main peak,nan
279,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms 986016,icief main peak,nan
280,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak,icief main peak,nan
280,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak,icief main peak,nan
280,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak,icief main peak,nan
280,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak,icief main peak,nan
281,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms 936558,icief main peak,nan
281,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms 936558,icief main peak,nan
281,Isoelectric Focusing Capillary Electrophoresis,icief main peaks cumulative area bms 936558,icief main peak,nan
281,icief,Isoelectric Focusing Capillary Electrophoresis main peaks cumulative area bms 936558,icief main peak,nan
282,Isoelectric Focusing Capillary Electrophoresis,icief main peak pi,icief main peak,nan
282,icief,Isoelectric Focusing Capillary Electrophoresis main peak pi,icief main peak,nan
282,Isoelectric Focusing Capillary Electrophoresis,icief main peak pi,icief main peak,nan
282,icief,Isoelectric Focusing Capillary Electrophoresis main peak pi,icief main peak,nan
283,bio_Isoelectric Focusing Capillary Electrophoresis,main peak [icief alag3 main peak area],icief main peak,nan
283,bio_Isoelectric Focusing Capillary Electrophoresis,main peak [icief alag3 main peak area],icief main peak,nan
284,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak nivolumab (% of cumulative area),icief main peak,nan
284,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak nivolumab (% of cumulative area),icief main peak,nan
284,bio_Isoelectric Focusing Capillary Electrophoresis,icief main peak nivolumab (% of cumulative area),icief main peak,nan
284,bio_icief,Isoelectric Focusing Capillary Electrophoresis main peak nivolumab (% of cumulative area),icief main peak,nan
285,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak cumulative area,icief main peak,nan
285,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area,icief main peak,nan
285,Isoelectric Focusing Capillary Electrophoresis_2,icief main peak cumulative area,icief main peak,nan
285,icief_2,Isoelectric Focusing Capillary Electrophoresis main peak cumulative area,icief main peak,nan
286,bio_Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks,icief acidic peaks,nan
286,bio_Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks,icief acidic peaks,nan
287,Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks cumulative area bms 986016,icief acidic peaks,nan
287,Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks cumulative area bms 986016,icief acidic peaks,nan
288,Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks,icief acidic peaks,nan
288,Isoelectric Focusing Capillary Electrophoresis,cief acidic peaks,icief acidic peaks,nan
289,isoelectric_focusing,Isoelectric Focusing acidic peaks (pre peaks),ief acidic peaks,nan
290,Isoelectric Focusing Capillary Electrophoresis,cief basic peaks cumulative area bms 986016,icief basic peaks,nan
290,Isoelectric Focusing Capillary Electrophoresis,cief basic peaks cumulative area bms 986016,icief basic peaks,nan
291,Isoelectric Focusing Capillary Electrophoresis,cief basic peaks,icief basic peaks,nan
291,Isoelectric Focusing Capillary Electrophoresis,cief basic peaks,icief basic peaks,nan
292,isoelectric_focusing,Isoelectric Focusing basic peaks (post peaks),ief basic peaks,nan
293,bio_Isoelectric Focusing Capillary Electrophoresis,cief basic peaks,icief basic peaks,nan
293,bio_Isoelectric Focusing Capillary Electrophoresis,cief basic peaks,icief basic peaks,nan
294,bio_Isoelectric Focusing Capillary Electrophoresis,cief main peak,icief main peak,nan
294,bio_Isoelectric Focusing Capillary Electrophoresis,cief main peak,icief main peak,nan
301,isoelectric_focusing,Isoelectric Focusing main peak,ief main peak,nan
302,Isoelectric Focusing Capillary Electrophoresis,cief main peak,icief main peak,nan
302,Isoelectric Focusing Capillary Electrophoresis,cief main peak,icief main peak,nan
303,se_High-Performance Liquid Chromatography,size exclusion chromatography lmw,se-hplc lmw,nan
303,Size Exclusion_hplc,size exclusion chromatography lmw,se-hplc lmw,nan
303,se_hplc,size exclusion chromatography Low Molecular Weight,se-hplc lmw,nan
304,se_High-Performance Liquid Chromatography,size exclusion chromatography hmw,se-hplc hmw,nan
304,Size Exclusion_hplc,size exclusion chromatography hmw,se-hplc hmw,nan
304,se_hplc,size exclusion chromatography High Molecular Weight,se-hplc hmw,nan
306,potential of Hydrogen,ph (25 ãâ±3oc),ph,nan
306,ph,potential of Hydrogen (25 ãâ±3oc),ph,nan
307,potential of Hydrogen,temperature (ph),ph,nan
308,se_High-Performance Liquid Chromatography,size exclusion chromatography monomer,se-hplc monomer,nan
308,Size Exclusion_hplc,size exclusion chromatography monomer,se-hplc monomer,nan
309,potential of Hydrogen,individual ph (measured at 25 degree c),ph,nan
309,ph,individual potential of Hydrogen (measured at 25 degree c),ph,nan
310,potential of Hydrogen,ph (measured at 25 degree c),ph,nan
310,ph,potential of Hydrogen (measured at 25 degree c),ph,nan
311,potential of Hydrogen,ph,ph,nan
311,ph,potential of Hydrogen,ph,nan
312,potential of Hydrogen,individual ph,ph,nan
312,ph,individual potential of Hydrogen,ph,nan
313,potential of Hydrogen,ph,ph,nan
313,ph,potential of Hydrogen,ph,nan
314,potential of Hydrogen,ph / 2,ph,nan
314,ph,potential of Hydrogen / 2,ph,nan
315,potential of Hydrogen,[individual ph],ph,nan
316,se_High-Performance Liquid Chromatography,size exclusion chromatography area% sum hmwp,se-hplc hmw,nan
316,Size Exclusion_hplc,size exclusion chromatography area% sum hmwp,se-hplc hmw,nan
317,potential of Hydrogen,ph / 1,ph,nan
317,ph,potential of Hydrogen / 1,ph,nan
318,se_High-Performance Liquid Chromatography,size exclusion chromatography area% sum lmwp,se-hplc lmw,nan
318,Size Exclusion_hplc,size exclusion chromatography area% sum lmwp,se-hplc lmw,nan
319,potential of Hydrogen,inidividual ph (measured at 25 degree c),ph,nan
319,ph,inidividual potential of Hydrogen (measured at 25 degree c),ph,nan
320,potential of Hydrogen,ph (measured at 25 degree),ph,nan
320,ph,potential of Hydrogen (measured at 25 degree),ph,nan
321,potential of Hydrogen,individual ph (measured at 25 degreec),ph,nan
321,ph,individual potential of Hydrogen (measured at 25 degreec),ph,nan
322,potential of Hydrogen,individual ph/1,ph,nan
323,potential of Hydrogen,ph / 3,ph,nan
323,ph,potential of Hydrogen / 3,ph,nan
324,potential of Hydrogen,ph,ph,nan
324,ph,potential of Hydrogen,ph,nan
325,potential of Hydrogen,ph individual,ph,nan
325,ph,potential of Hydrogen individual,ph,nan
326,potential of Hydrogen,ph reading 1 (individual reading),ph,nan
326,ph,potential of Hydrogen reading 1 (individual reading),ph,nan
327,potential of Hydrogen,ph 2,ph,nan
327,ph,potential of Hydrogen 2,ph,nan
328,potential of Hydrogen,ph (usp <791> ep: 2.2.3),ph,nan
328,ph,potential of Hydrogen (usp <791> ep: 2.2.3),ph,nan
329,potential of Hydrogen,individual ph (usp <791> ep: 2.2.3),ph,nan
329,ph,individual potential of Hydrogen (usp <791> ep: 2.2.3),ph,nan
330,potential of Hydrogen,ph (22 to 28 deg c),ph,nan
330,ph,potential of Hydrogen (22 to 28 deg c),ph,nan
331,potential of Hydrogen,ph 1,ph,nan
331,ph,potential of Hydrogen 1,ph,nan
332,se_High-Performance Liquid Chromatography,size exclusion chromatography hmwp,se-hplc hmw,nan
332,Size Exclusion_hplc,size exclusion chromatography hmwp,se-hplc hmw,nan
333,se_High-Performance Liquid Chromatography,size exclusion chromatography lmwp,se-hplc lmw,nan
333,Size Exclusion_hplc,size exclusion chromatography lmwp,se-hplc lmw,nan
334,potential of Hydrogen,inidividual ph,ph,nan
334,ph,inidividual potential of Hydrogen,ph,nan
335,se_High-Performance Liquid Chromatography,size exclusion chromatography area% sum hmw,se-hplc hmw,nan
335,Size Exclusion_hplc,size exclusion chromatography area% sum hmw,se-hplc hmw,nan
335,se_hplc,size exclusion chromatography area% sum High Molecular Weight,se-hplc hmw,nan
336,se_High-Performance Liquid Chromatography,size exclusion chromatography area% sum lmw,se-hplc lmw,nan
336,Size Exclusion_hplc,size exclusion chromatography area% sum lmw,se-hplc lmw,nan
336,se_hplc,size exclusion chromatography area% sum Low Molecular Weight,se-hplc lmw,nan
337,potential of Hydrogen,ph average,ph,nan
337,ph,potential of Hydrogen average,ph,nan
338,se_High-Performance Liquid Chromatography,size exclusion chromatography area% monomer,se-hplc monomer,nan
338,Size Exclusion_hplc,size exclusion chromatography area% monomer,se-hplc monomer,nan
339,potential of Hydrogen,ph reading 2 (individual reading),ph,nan
339,ph,potential of Hydrogen reading 2 (individual reading),ph,nan
340,potential of Hydrogen,ph determination at 25ãâ°c,ph,nan
340,ph,potential of Hydrogen determination at 25ãâ°c,ph,nan
341,potential of Hydrogen,average ph / ph,ph,nan
341,ph,average potential of Hydrogen / potential of Hydrogen,ph,nan
342,potential of Hydrogen,ph individual,ph,nan
342,ph,potential of Hydrogen individual,ph,nan
343,c_jp_potential of Hydrogen,ph,ph,nan
343,c_jp_ph,potential of Hydrogen,ph,nan
344,gbl_95007196,potential of Hydrogen,ph,nan
345,m_95007196,potential of Hydrogen,ph,nan
346,c_95007196,potential of Hydrogen,ph,nan
347,a_uspo156,potential of Hydrogen 1decpt,ph,nan
348,y_95007196_potential of Hydrogen,ph,ph,nan
348,y_95007196_ph,potential of Hydrogen,ph,nan
349,a_95007196,potential of Hydrogen 1decpt,ph,nan
350,y_250432_potential of Hydrogen,ph at 4 +/ -1 degree c,ph,nan
350,y_250432_ph,potential of Hydrogen at 4 +/ -1 degree c,ph,nan
351,y_sm_250432_r,potential of Hydrogen 1 decpt,ph,nan
352,d_m00003071,potential of Hydrogen,ph,nan
353,d_jp_potential of Hydrogen,ph,ph,nan
353,d_jp_ph,potential of Hydrogen,ph,nan
354,p_m12568,potential of Hydrogen,ph,nan
355,t_95007196_potential of Hydrogen,ph,ph,nan
355,t_95007196_ph,potential of Hydrogen,ph,nan
356,j_jp_potential of Hydrogen,ph,ph,nan
356,j_jp_ph,potential of Hydrogen,ph,nan
357,d_250432,potential of Hydrogen,ph,nan
358,p_m20687,potential of Hydrogen,ph,nan
359,y_jp_potential of Hydrogen,jp ph,ph,nan
359,y_jp_ph,jp potential of Hydrogen,ph,nan
360,p_7196,potential of Hydrogen,ph,nan
361,95007196_potential of Hydrogen_diaf,ph diafiltration sample 1,ph,nan
361,95007196_ph_diaf,potential of Hydrogen diafiltration sample 1,ph,nan
362,p_m15788,potential of Hydrogen,ph,nan
363,y_uspo156_potential of Hydrogen,ph,ph,nan
363,y_uspo156_ph,potential of Hydrogen,ph,nan
364,r_potential of Hydrogen,valor de ph,ph,nan
364,r_ph,valor de potential of Hydrogen,ph,nan
365,95007196_potential of Hydrogen_diaf,ph diafiltration sample 3,ph,nan
365,95007196_ph_diaf,potential of Hydrogen diafiltration sample 3,ph,nan
366,95007196_potential of Hydrogen_buff,buffer ph,ph,nan
366,95007196_ph_buff,buffer potential of Hydrogen,ph,nan
367,y_gm_95007196_r,potential of Hydrogen 1decpt,ph,nan
368,95007196_potential of Hydrogen,ph,ph,nan
368,95007196_ph,potential of Hydrogen,ph,nan
369,d_95007196,potential of Hydrogen,ph,nan
370,potential of Hydrogen,ph rep,ph,nan
370,ph,potential of Hydrogen rep,ph,nan
371,95007196_potential of Hydrogen_diaf,ph diafiltration sample 2,ph,nan
371,95007196_ph_diaf,potential of Hydrogen diafiltration sample 2,ph,nan
372,j_tc-b-p16,potential of Hydrogen,ph,nan
373,jp_potential of Hydrogen,ph,ph,nan
373,jp_ph,potential of Hydrogen,ph,nan
