,Analysis,Attribute,parent_class,parent_class_prob
4469,CE_SDS,CE-SDS (Non-reduced) Unknown Minor peak >= LOQ 1,0,0.9995365
4470,CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 2,0,0.9995351
4471,CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 3,0,0.99953437
4472,CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 1,0,0.9995351
4473,SE_HPLC,SEC High Molecular Weight (HMW) Species,2,0.9994529
4474,SE_HPLC,SE-HPLC Low Molecular Weight (LMW) Species,2,0.99945456
4475,CE_SDS_2,CE-SDS (Non-reduced) % Purity,0,0.99953365
4476,ELISA,Relative Potency (ELISA),4,0.99824166
4477,CE_SDS_2,CGE (reduced) Quantitation Limit,0,0.99951756
4478,CE_SDS,CGE (Non-reduced) Quantitation Limit,0,0.99953425
4479,ELISA_2,Relative Potency (Cell-Based Assay),4,0.9982041
4480,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak RRT 4 >=LOQ,0,0.9995384
4481,CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= QL 9,0,0.9995116
4482,CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= QL 8,0,0.99950874
4483,CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor Peak >=LOQ 3,0,0.9995339
4484,CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor Peak >=LOQ 4,0,0.9995345
4485,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= QL 6,0,0.9994956
4486,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= QL 7,0,0.99949396
4487,CE_SDS_2,Total HMW,0,0.99939525
4488,CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 2,0,0.9994955
4489,CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 6,0,0.9994956
4490,CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 4,0,0.9994936
4491,CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 5,0,0.9994924
4492,CE_SDS,CGE (Non-reduced) Unknown Minor Peak >= QL 3,0,0.9995135
4493,CE_SDS_3,CE-SDS (Non-Reduced) LC,0,0.9995345
4494,CE_SDS_3,CE-SDS (Non-reduced) Purity,0,0.99953365
4495,CE_SDS_3,CE-SDS (Non-reduced) minor peak >=LOQ 1,0,0.9995396
4496,CE_SDS_3,CE-SDS (Non-reduced) Sum of Minor peaks >= LOQ,0,0.9995327
4497,CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_6>=LOQ,0,0.99947864
4498,CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_4>=LOQ,0,0.99947816
4499,CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_7>=LOQ,0,0.9994777
4500,CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_5>=LOQ,0,0.9994777
4501,CE_SDS,CE-SDS (Non-reduced) Sum of all minor peaks >= QL,0,0.99953616
4502,CE_SDS_2,CE-SDS (Reduced) Sum of all minor peaks >= QL,0,0.9995332
4503,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 10,0,0.99949384
4504,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 13,0,0.9994968
4505,CE_SDS_2,CGE (Reduced) Unknown Miinor Peak >=DL 8,0,0.99950397
4506,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 7,0,0.9995003
4507,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 9,0,0.9994985
4508,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 5,0,0.9994978
4509,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 11,0,0.999498
4510,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 12,0,0.9994986
4511,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 6,0,0.9995012
4512,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 10,0,0.9995121
4513,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 7,0,0.9995154
4514,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 8,0,0.9995109
4515,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 9,0,0.99951434
4516,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 11,0,0.9995148
4517,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 13,0,0.9995136
4518,CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 12,0,0.99951446
4519,CE_SDS,CE-SDS (Non-Reduced) Minor Peak3 (>LOQ),0,0.9995333
4520,ICIEF,iCIEF Basic Peaks Cumulative Area BMS 936558,1,0.9996191
4521,ICIEF,iCIEF Acidic Peaks Cumulative Area BMS 986016,1,0.99962115
4522,ICIEF,iCIEF Basic Peaks Cumulative Area BMS 986016,1,0.99961853
4523,ICIEF,iCIEF Acidic Peaks Cumulative Area BMS 936558,1,0.99962187
4524,ICIEF,iCIEF Main Peaks Cumulative Area BMS 986016,1,0.99961495
4525,ICIEF,iCIEF Main Peaks Cumulative Area BMS 936558,1,0.99961567
4526,RP_UPLC,Anti-LAG3 peak area,2,0.9994072
4527,RP_UPLC,Nivolumab peak area,2,0.9993438
4528,CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 2,0,0.99953794
4529,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak RRT >=LOQ,0,0.9995371
4530,PH,pH / 1,5,0.9980566
4531,PH,pH / 2,5,0.998063
4532,CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor peak 3>= LOQ 1,0,0.99953175
4533,CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor peak >= LOQ 6,0,0.999532
4534,BIOLOGICAL_ASSAY,Potency (FACS) Reversibility Relative Potency,4,0.998142
4535,BIOLOGICAL_ASSAY,Potency (FACS) Purity Relative Potency,4,0.9979049
4536,BIOLOGICAL_ASSAY,Potency (FACS) Depletion Relative Potency,4,0.99811757
4537,CE_SDS,CE-SDS (Non-Reduced) Sum of A(lgG) and A(NG-IgG,0,0.999526
4538,RP_UPLC,Percentage of Ipilimumab,2,0.99936706
4539,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 170,0,0.99951184
4540,SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 38,0,0.9995109
4541,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 141,0,0.9995148
4542,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 174,0,0.99951255
4543,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 7 => QL,0,0.9995154
4544,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 5 => QL,0,0.9995154
4545,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 6 => QL,0,0.9995153
4546,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 4 => QL,0,0.9995154
4547,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 2 => QL,0,0.99951553
4548,SDS_PAGE,SDS-PAGE (NR) minor band 4 MW=139,0,0.99951375
4549,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=165,0,0.9995127
4550,CE_SDS,CE-SDS 10 (result) [(Non-Reduced) unknown imp RRT 1.98],0,0.9995345
4551,SDS_PAGE_2,SDS PAGE (NR) minor band 2 MW= 178.32 /1,0,0.99949336
4552,SDS_PAGE_2,SDS PAGE (NR) minor band 5 MW= 127.03 /2,0,0.9994912
4553,SDS_PAGE_2,SDS PAGE (NR) minor band 5 MW= 129.49 /1,0,0.9994822
4554,SDS_PAGE_2,SDS PAGE (NR) minor band 8 MW= 44.58 /2,0,0.99948835
4555,SDS_PAGE_2,SDS PAGE (NR) minor band 8 MW= 23.71 /1,0,0.9994879
4556,SDS_PAGE_2,SDS PAGE Non-Reduced Purity of the Major Band,0,0.9995351
4557,SDS_PAGE_2,SDS PAGE (NR) minor band 4 MW= 162.73 /2,0,0.9994943
4558,SDS_PAGE_2,SDS PAGE (NR) minor band 9 MW= 27.18 /2,0,0.9994904
4559,SDS_PAGE_2,SDS PAGE (NR) minor band 11 MW= 24.05 /2,0,0.99948776
4560,SDS_PAGE_2,SDS PAGE (NR) minor band 6 MW= 80.79 /2,0,0.9994848
4561,SDS_PAGE_2,SDS PAGE (NR) minor band 7 MW= 51.67 /2,0,0.9994887
4562,SDS_PAGE_2,SDS PAGE (NR) minor band 7 MW= 44.86 /1,0,0.9994923
4563,SDS_PAGE_2,SDS PAGE (NR) minor band 2 MW= 174.85 /2,0,0.99948967
4564,SDS_PAGE_2,SDS PAGE (NR) minor band 6 MW= 81.27 /1,0,0.9994899
4565,SDS_PAGE_2,SDS PAGE (NR) minor band 1 MW= >200 /1,0,0.9994822
4566,SDS_PAGE_2,SDS PAGE (NR) minor band 1 MW= >200 /2,0,0.9994816
4567,SDS_PAGE_2,SDS PAGE (NR) minor band 3 MW= 172.27 /2,0,0.9994943
4568,SDS_PAGE_2,SDS PAGE (NR) minor band 10 MW= 25.76 /2,0,0.9994823
4569,SDS_PAGE_2,SDS PAGE (NR) minor band 9 MW= 13.33 /1,0,0.9994887
4570,SDS_PAGE_2,SDS PAGE (NR) minor band 12 MW= 14.54 /2,0,0.999488
4571,SDS_PAGE_2,SDS PAGE (NR) minor band 3 MW= 175.30 /1,0,0.9994923
4572,SDS_PAGE_2,SDS PAGE (NR) minor band 4 MW= 166.13 /1,0,0.9994942
4573,ELISA_BINDING_2,Binding (ELISA),4,0.9981931
4574,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=131,0,0.9995127
4575,SDS_PAGE,SDS-PAGE (R) minor band 1 MW=59,0,0.9995072
4576,SDS_PAGE,SDS-PAGE  (R) minor band 1 MW = 44,0,0.99950886
4577,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 177,0,0.99951494
4578,SDS_PAGE,SDS PAGE (Reduced)_3 Area of Non-Main Band,0,0.9995339
4579,SDS_PAGE,SDS PAGE (Reduced)_1 Area of Non-Main Band,0,0.99953437
4580,CE_SDS_2,CE-SDS (Reduced) Sum of Minor peaks NLT LOQ,0,0.9995258
4581,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak NLT LOQ,0,0.9995314
4582,CE_SDS,CE-SDS (Non-reduced) Sum of Minor Peaks NLT LOQ,0,0.9995284
4583,CE_SDS_2,CE-SDS (Non-Reduced)  Minor Peak >= QL 2,0,0.9995389
4584,CE_SDS_2,CE-SDS (Non-Reduced)  Minor Peak >= QL 1,0,0.9995389
4585,BIO_SE-HPLC,SE-UPLC LMW species,2,0.99944526
4586,BIO_SE-HPLC,SE-UPLC HMW species,2,0.9994486
4587,CE_SDS_2,CE-SDS (reduced) Sum of all Minor Peaks,0,0.999532
4588,ICIEF,Sum area % acidic peak,1,0.99961036
4589,ICIEF,Sum area % basic peak,1,0.99960583
4590,ICIEF,Area% main peak,1,0.9996061
4591,CE_SDS,CE-SDS (Reduced)  Minor Peak >= QL 1,0,0.9995395
4592,SE_HPLC,SE-UPLC HMW Species,2,0.99944633
4593,SE_HPLC,SE-UPLC Total main peak,2,0.99941707
4594,SE_HPLC,SE-UPLC LMW Species,2,0.9994423
4595,CE_SDS,CE-SDS (Reduced) Minor Peaks (>LOQ),0,0.99953115
4596,CE_HPLC,CEX Main Peaks,1,0.9995726
4597,CE_SDS,CE-SDS (Non-Reduced) RRT of Minor Peak > = LOQ 2,0,0.9995358
4598,CE_SDS,RRT~ 2.559,0,0.99947184
4599,CE_SDS,RRT~ 2.038,0,0.99947745
4600,CE_SDS,RRT~ 1.989,0,0.9994716
4601,CE_SDS,RRT~ 1.767,0,0.99946934
4602,CE_SDS_2,CE-SDS (Non-Reduced) Sum of Minor peaks >= LOQ,0,0.9995326
4603,CE_SDS_2,CE-SDS (Non-Reduced) FP1,0,0.99953496
4604,CE_SDS_2,CE-SDS(Non-Reduced)Sum of all Minor peaks>=LOQ,0,0.99953294
4605,CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 4,0,0.9995378
4606,CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 3,0,0.9995377
4607,CE_SDS,CE-SDS(Reduced) Sum of all Minor peaks>=LOQ,0,0.9995297
4608,CE_SDS,CE-SDS (Reduced) %: Undefined Peak_3>=LOQ,0,0.9995364
4609,CE_SDS,CE-SDS (Reduced) %: Undefined Peak_2>=LOQ,0,0.9995364
4610,CE_SDS,CE-SDS (Reduced) %: Undefined Peak_1>=LOQ,0,0.99953616
4611,CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 1,0,0.99953806
4612,CE_SDS,CGE (Non-Reduced) HL2,0,0.99953806
4613,CE_SDS,CGE (Non-Reduced) HL1,0,0.9995394
4614,SDS_PAGE,NuPAGE Reduced Non-main band MW 109 kDa,0,0.9994155
4615,SDS_PAGE,NuPAGE Reduced Non-main band MW 76 kDa,0,0.9994186
4616,CE_SDS,CE-SDS (Non-Reduced) Minor Peaks (>=LOQ) - 2,0,0.9995316
4617,CE_SDS,CE-SDS (Non-Reduced) Minor Peaks (>=LOQ) - 3,0,0.99953115
4618,CE_SDS,CE-SDS (Non-Reduced) Minor Peaks (>=LOQ) - 1,0,0.9995314
4619,POLYSORBATE_80,Polysorbate 80 Content,7,0.9716322
4620,SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=178,0,0.99951434
4621,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=170,0,0.9995116
4622,SDS_PAGE,NuPAGE Reduced Non-main band MW  112 kDa,0,0.9994023
4623,SDS_PAGE,NuPAGE Reduced non main band MW 78 kDa,0,0.99938166
4624,CE_SDS,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 2,0,0.9995363
4625,CE_SDS,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 1,0,0.9995364
4626,CE_SDS,CE-SDS (Reduced) RRT for Unknown Minor Peak >= QL 3,0,0.99953616
4627,SDS_PAGE,Nu-Page Reduced Non-main band MW       83  kD,0,0.99943
4628,SDS_PAGE,Nu-Page Reduced Non-main band MW     122    kD,0,0.99942076
4629,CE_SDS_2,CE-SDS (Non-reduced) Minor Peak 3 (>LOQ),0,0.99953544
4630,CE_SDS_2,CE-SDS (Non-reduced) Minor Peak 4 (>LOQ),0,0.99953604
4631,CE_SDS,CE-SDS (Reduced) Minor Peak 8 (>LOQ),0,0.9995338
4632,CE_SDS,CE-SDS (Reduced) Minor Peak 10 (>LOQ),0,0.99953437
4633,CE_SDS,CE-SDS (Reduced) Minor Peak 7 (>LOQ),0,0.9995345
4634,CE_SDS,CE-SDS (Reduced) Minor Peak 11 (>LOQ),0,0.9995327
4635,CE_SDS,CE-SDS (Reduced) Minor Peak 12 (>LOQ),0,0.99953294
4636,CE_SDS,CE-SDS (Reduced) Minor Peak 9 (>LOQ),0,0.9995339
4637,CE_SDS,CE-SDS (Reduced) Minor Peak >= LOQ 1,0,0.99954
4638,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >=QL 1,0,0.9995347
4639,CE_SDS,CE-SDS (Reduced) Unknown Minor Peak >= LOQ,0,0.9995372
4640,CE_SDS_2,CE-SDS (Non-reduced) Unknown Minor Peak >=LOQ,0,0.9995388
4641,CE_SDS_2,CE-SDS (Non-Reduced) Sum of Minor Peaks >= LOQ,0,0.9995326
4642,POLYSORBATE_80,PS80,7,0.9710395
4643,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 2,0,0.99953735
4644,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >=LOQ 6,0,0.9995365
4645,CE_SDS_2,CE-SDS (Reduced) minor peak >= LOQ 5,0,0.99953926
4646,BIO_SE-HPLC,SE-HPLC High Molecular Weight(HMW) Species,2,0.9994542
4647,BIO_SE-HPLC,SE-HPLC Low Molecular Weight(LMW) Species,2,0.99945384
4648,SE_HPLC,SEC-HPLC Main Peak,2,0.99938
4649,CE_SDS,CE SDS  (Non-Reduced) HMW,0,0.9995234
4650,CE_SDS,CE SDS (Non-Reduced) LMW,0,0.99952483
4651,CE_SDS,CE SDS  (Non-Reduced) Major Peaks,0,0.9995315
4652,CE_SDS_2,CE-SDS (Reduced) Major Peaks (HC+LC),0,0.9995378
4653,CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 2,0,0.99953794
4654,SE_HPLC,SE-UPLC (Ides Digest) Sum-Clipped Species,2,0.99945253
4655,SE_HPLC,SE-UPLC (Ides Digest) Mono-clipped Species,2,0.9994522
4656,SE_HPLC,SE-UPLC (Ides Digest) Di-clipped Species,2,0.9994505
4657,BIO_CE-SDS_R,CE-SDS (Reduced) Unknown minor peak x >=LOQ,0,0.9995403
4658,BIO_CE-SDS_NR,CE-SDS (Non-Reduced) Unknown minor peak x >=LOQ,0,0.9995448
4659,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 3 >=LOQ,0,0.99953747
4660,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 4 >=LOQ,0,0.9995371
4661,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 2 >=LOQ,0,0.9995372
4662,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 1 >=LOQ,0,0.99953735
4663,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 3 >=LOQ,0,0.9995365
4664,CE_SDS,CE-SDS (Non-Reduced) HHL ,0,0.9995252
4665,BIO_CE-SDS_R,CE-SDS (NR) RRT of Unknown Minor Peak >= LOQ 1,0,0.999532
4666,ELISA_2,ELISA (Result),4,0.997985
4667,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 4,0,0.9995316
4668,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 6 >= LOQ,0,0.9995358
4669,CE_SDS_2,CGE (reduced) RRT for Unknown Minor Peak >= QL 8,0,0.99950874
4670,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 1 >=QL,0,0.9995321
4671,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 4 >=QL,0,0.999532
4672,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 7 >=QL,0,0.9995316
4673,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 6 >=QL,0,0.99953127
4674,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 9 >=QL,0,0.99953043
4675,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 5 >=QL,0,0.9995315
4676,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 3 >=QL,0,0.999532
4677,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 2 >=QL,0,0.99953187
4678,CE_SDS_2,CE-SDS (R) RRT of Minor Peak 8 >=QL,0,0.9995308
4679,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak < LOQ 2,0,0.999534
4680,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 8,0,0.9995345
4681,CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak 7,0,0.99953353
4682,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak>=LOQ6,0,0.99953234
4683,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak>=LOQ5,0,0.9995327
4684,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak>=LOQ4,0,0.9995326
4685,CE_SDS,CE-SDS (Reduced) RRT of Unknown Minor Peak>=LOQ7,0,0.999532
4686,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 3 >= QL,0,0.9995142
4687,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 4 >= QL,0,0.99951327
4688,SE_HPLC,SEC-UPLC Di-Clipped Species,2,0.99945074
4689,SE_HPLC,SEC-UPLC Mono-Clipped Species,2,0.9994547
4690,CE_HPLC_2,CEX Main Peak Cumulative Area,1,0.9995956
4691,CE_HPLC_2,CEX Basic Peaks Cumulative Area,1,0.9995951
4692,CE_HPLC_2,CEX Acidic Peaks Cumulative Area,1,0.99959797
4693,SE_HPLC_4,SE-HPLC HMW (Area) Peak 2,2,0.9994635
4694,SE_HPLC_4,SE-HPLC Purity,2,0.9994524
4695,SE_HPLC_4,SE-HPLC LMW (Area) Peak 1,2,0.9994597
4696,SE_HPLC_4,SE-HPLC HMW (Area) Peak 1,2,0.99946314
4697,ICIEF,Additional Peaks pI Range 5.85 - 7.40,1,0.9995347
4698,CE_SDS_2,CE-SDS (reduced) Unknown Minor Peak >=QL 1,0,0.99953604
4699,HPLC,HIC-HPLC IsoAsp,2,0.99932086
4700,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 171,0,0.9995135
4701,SDS_PAGE,CE-SDS Reduced Sum of Heavy and Light Chains,0,0.9995284
4702,SE_HPLC,Size Exclusion Chromatography Aggregates,2,0.9994579
4703,SDS_PAGE_2,CE-SDS Non Reduced Main Peak,0,0.99953663
4704,SDS_PAGE,SDS-PAGE (Reduced) Purity of Minor Band 2,0,0.99953306
4705,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=172,0,0.9995123
4706,SDS_PAGE,SDS-PAGE (R) minor band 1 MW=46,0,0.99950874
4707,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=175,0,0.9995123
4708,SDS_PAGE,SDS-PAGE (Reduced) Purity of Minor Band 1,0,0.9995332
4709,SDS_PAGE,SDS-PAGE (R) minor band 2 MW=15,0,0.9995072
4710,SDS_PAGE,SDS-PAGE (Reduced) Molecular Weight of Minor Band 1,0,0.999519
4711,SDS_PAGE,SDS PAGE (Reduced) Molecular Weight Minor Band 3,0,0.9994981
4712,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight Minor Band 2,0,0.99951005
4713,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight Minor Band 6,0,0.9995078
4714,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight Minor Band 5,0,0.9995103
4715,SDS_PAGE,SDS PAGE (Reduced) Molecular Weight Minor Band 1,0,0.99949646
4716,SDS_PAGE,SDS PAGE (Reduced) Molecular Weight Minor Band 2,0,0.9994979
4717,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight Minor Band 4,0,0.99951005
4718,SDS_PAGE,SDS PAGE (Reduced) Molecular Weight Minor Band 5,0,0.99949765
4719,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight Minor Band 3,0,0.9995104
4720,SDS_PAGE,SDS PAGE (Reduced) Molecular Weight Minor Band 4,0,0.9994972
4721,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 6,0,0.9995326
4722,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 3,0,0.9995321
4723,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 4,0,0.9995322
4724,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 2,0,0.99953175
4725,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 5,0,0.9995321
4726,CE_SDS,CE-SDS (Reduced)  Relative Migration Time Minor Peak 1,0,0.99953175
4727,PARTICULATE_MATTER_MICRO_2,Particulate Matter >= 10 micrometers,3,0.9922082
4728,BIOASSAY,Cell Based Bioasay Nivolumab,4,0.99773407
4729,BIOASSAY,Cell Based Bioassay  Ipilimumab,4,0.9980824
4730,PARTICULATE_MATTER_2,Particulate Matter (HIAC) >=5 micrometers,3,0.9921495
4731,PARTICULATE_MATTER_2,Particulate Matter (HIAC) >=2 micrometers,3,0.9921559
4732,PARTICULATE_MATTER_2,Particulate Matter (HIAC) >=3 micrometers,3,0.9921651
4733,SDS_PAGE,NuPAGE Reduced Non-main band MW 82 kDa,0,0.99941933
4734,SDS_PAGE,NuPAGE Reduced Non-main band MW 118 kDa,0,0.9994148
4735,SDS_PAGE,NuPAGE Reduced Non-main band MW 111 kDa,0,0.9994142
4736,SDS_PAGE,NuPAGE Reduced Non-main band MW 77 kDa,0,0.9994137
4737,CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor Peak 6 >= LOQ,0,0.99953103
4738,CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor Peak 5 >= LOQ,0,0.9995316
4739,CE_SDS_2,CE-SDS (Non-Reduced)RRT of Unknown Minor Peak 7 >= LOQ,0,0.9995353
4740,CE_SDS_2,CE-SDS (Non-Reduced)RRT of Unknown Minor Peak 6 >= LOQ,0,0.9995351
4741,CE_SDS_2,CE-SDS (Non-Reduced)RRT of Unknown Minor Peak 8 >= LOQ,0,0.99953496
4742,SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=179,0,0.99951315
4743,CE_SDS,CE-SDS (Non-Reduced) Sum of A(lgG),0,0.99952805
4744,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 174,0,0.9995121
4745,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 164,0,0.9995128
4746,CE_SDS,CE-SDS 11 (result) [CE-SDS(Non-Reduced) unknown imp RRT],0,0.9995301
4747,CE_SDS,CE-SDS (Non-Reduced) unknown imp RRT 1.98,0,0.99953866
4748,CE_HPLC,CEX HPLC Early Pre-Peaks,1,0.99954826
4749,HPLC,AEX Total Acidic Peaks,1,0.9995658
4750,HPLC,AEX Total Basic Peaks,1,0.99956876
4751,CE_SDS,CE-SDS (Reduced) Minor Peak >= QL 2,0,0.9995396
4752,CE_SDS,CE-SDS (Non-reduced) RRT for Unknown Minor Peak >=QL 1,0,0.9995377
4753,PARTICULATE_MATTER,Particulate Matter  >= 5 micrometers,3,0.99214125
4754,RP_UPLC,Protein ratio (Ipilimumab/nivolumab),2,0.9992878
4755,BIOLOGICAL_ASSAY_2,Bioassay (Cell-Based),4,0.9979938
4756,SDS_PAGE,SDS PAGE (Reduced) Purity Minor Band 3,0,0.9995394
4757,SDS_PAGE,SDS-PAGE (NR) minor band 5 MW=140,0,0.99950886
4758,SDS_PAGE,SDS PAGE (Reduced) Purity Minor Band 1,0,0.99953914
4759,SDS_PAGE,SDS-PAGE (NR) minor band 6 MW=37,0,0.99950993
4760,SDS_PAGE,SDS PAGE (Non-Reduced) Purity Minor Band 2,0,0.99953914
4761,SDS_PAGE,SDS PAGE (Non-Reduced) Purity Minor Band 5,0,0.99954057
4762,SDS_PAGE,SDS PAGE (Non-Reduced) Purity Minor Band 4,0,0.99954045
4763,SDS_PAGE,SDS-PAGE (R) minor band 3 MW=14,0,0.99950886
4764,SDS_PAGE,SDS-PAGE (R) minor band 2 MW=42,0,0.9995097
4765,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=175,0,0.9995127
4766,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=178,0,0.9995147
4767,SDS_PAGE,SDS-PAGE (NR) minor band 4 MW=168,0,0.99951386
4768,SDS_PAGE,SDS PAGE (Reduced) Purity Minor Band 2,0,0.99953914
4769,SDS_PAGE,SDS PAGE (Non-Reduced) Purity Minor Band 3,0,0.99953926
4770,SDS_PAGE,SDS PAGE (Reduced) Purity Minor Band 4,0,0.9995407
4771,SDS_PAGE,SDS PAGE (Non-Reduced) Purity Minor Band 6,0,0.9995401
4772,SDS_PAGE,SDS PAGE (Reduced) Purity Minor Band 5,0,0.99954057
4773,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 162,0,0.99951255
4774,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 176,0,0.9995154
4775,HPLC,RP-HPLC Post-peaks,2,0.9994123
4776,CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= LOQ 13,0,0.9995105
