Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
CE_SDS,CE-SDS (Reduced)Unknown Minor Peak 4 >= LOQ,0,0.999597,2,0.68491685,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced)Unknown Minor Peak 2 >= LOQ,0,0.99959725,2,0.68491685,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced)Unknown Minor Peak 1 >= LOQ,0,0.99959916,2,0.68491685,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)Unknown Minor Peak 2 >= LOQ,0,0.9996,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)Unknown Minor Peak 5 >= LOQ,0,0.9996006,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) FS,0,0.99959594,2,0.93635595,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)Unknown Minor Peak 3 >= LOQ,0,0.99960047,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)Unknown Minor Peak 4 >= LOQ,0,0.99960107,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)Unknown Minor Peak 1 >= LOQ,0,0.9996025,2,0.99650586,ce-sds (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_1 (Result),0,0.99959284,5,0.8524945,sds-page (reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 5,0,0.99959856,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 6,0,0.9996,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak >= LOQ 4,0,0.9996001,2,0.99650586,ce-sds (non-reduced) purity
RP_UPLC,Tryptic RP-UPLC M0 Oxidation,2,0.9993166,1,0.99999213,rp-hplc purity
ICIEF,iCIEF Sum of Acidic Peak,1,0.99973065,4,0.74298996,icief acidic peaks
ICIEF,iCIEF Sum of Basic Peak,1,0.9997272,5,0.8315918,icief basic peaks
CE_SDS_2,CE-SDS (Reduced) Purity (Main Peak),0,0.9996045,3,0.97456115,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (Reduced) Minor Peak at RRT-1.49,0,0.9996025,1,0.5658909,ce-sds (non-reduced) hhl
BIO_SE-HPLC,SE-HPLC Monomer Peak,2,0.9995136,4,0.99439716,se-hplc monomer
SE_HPLC_2,Monomer,2,0.99951315,4,0.9837818,se-hplc monomer
SE_HPLC_2,High Molecular Weight Species,2,0.99950755,2,0.9327127,se-hplc hmw
SE_HPLC_2,Low Molecular Weight Species,2,0.9995066,3,0.7840631,se-hplc lmw
ICIEF,Sum Area of Acidic Peak,1,0.99973863,1,0.9477794,ief acidic peaks
ICIEF,Area of Main Peak,1,0.9997253,6,0.54329705,icief main peak
ICIEF,Sum Area of Basic Peak,1,0.9997336,2,0.96931916,ief basic peaks
CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak,0,0.99960166,1,0.76629514,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak,0,0.9995993,1,0.97417825,ce-sds (non-reduced) hhl
ICIEF,iCIEF Basic Group,1,0.9997141,5,0.98958755,icief basic peaks
ICIEF,iCIEF Acidic Group,1,0.99972063,4,0.9919809,icief acidic peaks
CE_SDS_2,CGE(Reduced) Purity (LC and HC peaks),0,0.9996013,3,0.99998474,ce-sds (reduced) purity
BIO_SE-HPLC,SE-HPLC Purity Monomer,2,0.999476,4,0.99963474,se-hplc monomer
CE_SDS,CGE (Non-Reduced) Purity (IgG main peak),0,0.99959975,2,0.99985015,ce-sds (non-reduced) purity
BIO_SE-HPLC,SE- HPLC Purity (Monomer),2,0.99946135,4,0.99963474,se-hplc monomer
BIO_SE-HPLC,SE- HPLC High Molecular Weight (HMW) Species,2,0.99949884,2,0.9981931,se-hplc hmw
BIO_SE-HPLC,SE- HPLC Low Molecular Weight (HMW) Species,2,0.9994979,2,0.84830105,se-hplc hmw
CE_SDS_2,CGE (Reduced) Purity (HC+LC),0,0.99960333,3,0.9999505,ce-sds (reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak >= QL 11,0,0.9996045,1,0.99997103,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak>=LOQ2,0,0.9995988,1,0.9944402,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak>=LOQ3,0,0.99959797,1,0.91107804,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak>=LOQ1,0,0.99959975,1,0.9766614,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak3,0,0.9996045,2,0.7127608,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak2,0,0.99960464,2,0.72385675,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Relative Migration Time of Minor Peak1,0,0.9996056,2,0.9915581,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced)  Relative Retention time of Peak 3 >= LOQ,0,0.9995939,3,0.7665333,ce-sds (reduced) purity
PARTICULATE_MATTER,Particulate Matter (Light Obscuration)>=10 micrometers,3,0.9983833,2,0.56403255,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate Matter (Light Obscuration)>=25 micrometers,3,0.99838185,2,0.56403255,particulate-matter >= 25-um
SDS_PAGE,SDS PAGE Molecular Weight Minor Band 1,0,0.99958247,5,0.506621,sds-page (reduced) purity
SDS_PAGE,SDS PAGE (Reduced) Purity of Minor Band 2,0,0.9996049,4,0.5420618,sds-page (non-reduced) purity
BIO_PARTICULATE_MATTER, Sub-visible Particulate Matter >= 25 micrometers,3,0.9984181,1,0.5050067,particulate-matter >= 10-um
BIO_PARTICULATE_MATTER,  Sub-visible  Particulate Matter >= 10 micrometers,3,0.99841774,1,0.5050067,particulate-matter >= 10-um
CE_SDS,CE-SDS (Reduced) Number of Minor Peaks (>=LOQ),0,0.99960095,2,0.9838186,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Number of Minor Peaks (>=LOQ),0,0.99960285,2,0.99999917,ce-sds (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_1 [Result],0,0.9995938,5,0.8524943,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced)Purity of Minor band 2,0,0.99960655,4,0.99997807,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced)Purity of Minor band 1,0,0.99960536,4,0.99997807,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced)Purity of Minor band 3,0,0.99960583,4,0.99997807,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Reduced) MW Light Chain/0--kDa,0,0.99959356,5,0.7913197,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) MW Major Band/0--kDa,0,0.9995983,4,0.99998856,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Reduced) MW Heavy Chain/0--kDa,0,0.9995932,5,0.8474803,sds-page (reduced) purity
CE_SDS,CE-SDS (NR) RRT of Minor Peak 5 >=QL,0,0.9995937,2,0.67401415,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (NR) RRT of Minor Peak 6 >=QL,0,0.999595,2,0.67401415,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (NR) RRT of Minor Peak 7 >=QL,0,0.999595,2,0.67401415,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak >= QL 3,0,0.99960285,1,0.99997103,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced) Unknown Minor Peak >= QL 1,0,0.9996012,1,0.99505794,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced) Unknown Minor Peak >= QL 2,0,0.9996013,1,0.99505794,ce-sds (non-reduced) hhl
BIO_SE-HPLC,SE-UPLC LWM Species,2,0.9995018,6,0.8212017,se-uplc lmw
RP_HPLC,Total Unidentified Variants,2,0.9994265,1,0.99999964,rp-hplc purity
RP_HPLC,Main Peak,2,0.9993654,1,1.0,rp-hplc purity
RP_HPLC,Ring-Opened Variants,2,0.99936837,1,0.9999999,rp-hplc purity
SE_HPLC,SE HPLC Total Monomer Peaks,2,0.99949193,4,0.99246925,se-hplc monomer
CE_SDS,CE-SDS (Non-reduced) Unknown Minor peak >= LOQ 2,0,0.9996012,2,0.9996182,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) Sum of minor peaks >=LOQ,0,0.9996024,2,0.9999989,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) Unknown Minor peak >= LOQ 3,0,0.9995999,2,0.9996182,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) Unknown Minor peak >= LOQ 1,0,0.9996013,2,0.9996182,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 2,0,0.9995883,2,0.54252326,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 3,0,0.9995859,2,0.54252326,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS 6 (Reduced) Uknown Minor peak >= LOQ 1,0,0.99958926,2,0.54252326,ce-sds (non-reduced) purity
SE_HPLC,SEC High Molecular Weight (HMW) Species,2,0.9995086,2,0.9972389,se-hplc hmw
SE_HPLC,SE-HPLC Low Molecular Weight (LMW) Species,2,0.99949896,3,0.9875838,se-hplc lmw
CE_SDS_2,CE-SDS (Non-reduced) % Purity,0,0.99960047,2,0.9996147,ce-sds (non-reduced) purity
ELISA,Relative Potency (ELISA),4,0.9992681,2,0.85966,potency by binding elisa
CE_SDS_2,CGE (reduced) Quantitation Limit,0,0.9995633,3,0.9589031,ce-sds (reduced) purity
CE_SDS,CGE (Non-reduced) Quantitation Limit,0,0.9995776,2,0.9084858,ce-sds (non-reduced) purity
ELISA_2,Relative Potency (Cell-Based Assay),4,0.99928194,1,0.99999607,potency by cell-based bioassay
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak RRT 4 >=LOQ,0,0.9995983,2,0.8071386,ce-sds (non-reduced) purity
CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= QL 9,0,0.99954826,3,0.8036383,ce-sds (reduced) purity
CE_SDS_2,CGE (Reduced) RRT for Unknown Minor Peak >= QL 8,0,0.99955076,3,0.8036383,ce-sds (reduced) purity
CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor Peak >=LOQ 3,0,0.9996026,2,0.9999994,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor Peak >=LOQ 4,0,0.99960333,2,0.9999994,ce-sds (non-reduced) purity
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= QL 6,0,0.9995616,1,0.91742355,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= QL 7,0,0.99956435,1,0.91742355,ce-sds (non-reduced) hhl
CE_SDS_2,Total HMW,0,0.99947125,2,0.7233926,ce-sds (non-reduced) purity
CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 2,0,0.99956876,1,0.9409363,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 6,0,0.9995616,1,0.9409363,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 4,0,0.9995646,1,0.9409363,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (reduced) Unknown Minor Peak >=QL 5,0,0.9995641,1,0.9409363,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-reduced) Unknown Minor Peak >= QL 3,0,0.9995789,1,0.9999852,ce-sds (non-reduced) hhl
CE_SDS_3,CE-SDS (Non-Reduced) LC,0,0.9996024,2,0.65914696,ce-sds (non-reduced) purity
CE_SDS_3,CE-SDS (Non-reduced) Purity,0,0.9995987,2,0.9996147,ce-sds (non-reduced) purity
CE_SDS_3,CE-SDS (Non-reduced) minor peak >=LOQ 1,0,0.99960035,2,0.9993913,ce-sds (non-reduced) purity
CE_SDS_3,CE-SDS (Non-reduced) Sum of Minor peaks >= LOQ,0,0.99960095,2,0.99999857,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_6>=LOQ,0,0.9995685,1,0.6742389,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_4>=LOQ,0,0.99956805,1,0.6742389,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_7>=LOQ,0,0.99956685,1,0.6742389,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Red.) Rel. Retention Time: Undefined Peak_5>=LOQ,0,0.9995654,1,0.6742389,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Non-reduced) Sum of all minor peaks >= QL,0,0.9996018,2,0.9482718,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) Sum of all minor peaks >= QL,0,0.9996,3,0.9745607,ce-sds (reduced) purity
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 10,0,0.9995401,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 13,0,0.99956554,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Miinor Peak >=DL 8,0,0.999577,3,0.571367,ce-sds (reduced) purity
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 7,0,0.99956304,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 9,0,0.99956006,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 5,0,0.99956197,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 11,0,0.999561,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 12,0,0.9995623,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 6,0,0.9995596,1,0.87191284,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 10,0,0.9995633,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 7,0,0.9995808,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 8,0,0.99957985,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 9,0,0.99957794,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 11,0,0.99957794,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 13,0,0.99958044,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CGE (Non-Reduced) Unknown Minor Peak >= DL 12,0,0.9995797,1,0.9996344,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Non-Reduced) Minor Peak3 (>LOQ),0,0.99960643,2,0.99887997,ce-sds (non-reduced) purity
ICIEF,iCIEF Basic Peaks Cumulative Area BMS 936558,1,0.9997259,5,0.998382,icief basic peaks
ICIEF,iCIEF Acidic Peaks Cumulative Area BMS 986016,1,0.9997278,4,0.99936813,icief acidic peaks
ICIEF,iCIEF Basic Peaks Cumulative Area BMS 986016,1,0.9997278,5,0.998382,icief basic peaks
ICIEF,iCIEF Acidic Peaks Cumulative Area BMS 936558,1,0.9997272,4,0.99936813,icief acidic peaks
ICIEF,iCIEF Main Peaks Cumulative Area BMS 986016,1,0.99972457,6,0.9818087,icief main peak
ICIEF,iCIEF Main Peaks Cumulative Area BMS 936558,1,0.99972385,6,0.9818087,icief main peak
RP_UPLC,Anti-LAG3 peak area,2,0.9994338,1,0.9999881,rp-hplc purity
RP_UPLC,Nivolumab peak area,2,0.9994349,1,0.99714655,rp-hplc purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 2,0,0.99960047,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak RRT >=LOQ,0,0.9996049,2,0.9999629,ce-sds (non-reduced) purity
PH,pH / 1,5,0.9976834,1,1.0,ph
PH,pH / 2,5,0.9977024,1,1.0,ph
CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor peak 3>= LOQ 1,0,0.9995993,2,0.97556573,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced)RRT of Unknown Minor peak >= LOQ 6,0,0.9996006,2,0.97556573,ce-sds (non-reduced) purity
BIOLOGICAL_ASSAY,Potency (FACS) Reversibility Relative Potency,4,0.9991749,1,0.9999993,potency by cell-based bioassay
BIOLOGICAL_ASSAY,Potency (FACS) Purity Relative Potency,4,0.9990964,1,0.99999964,potency by cell-based bioassay
BIOLOGICAL_ASSAY,Potency (FACS) Depletion Relative Potency,4,0.9991516,1,0.9999993,potency by cell-based bioassay
CE_SDS,CE-SDS (Non-Reduced) Sum of A(lgG) and A(NG-IgG,0,0.9996006,2,0.9999989,ce-sds (non-reduced) purity
RP_UPLC,Percentage of Ipilimumab,2,0.99940145,1,0.93895173,rp-hplc purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 170,0,0.99958473,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 38,0,0.99959284,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 141,0,0.9995921,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 174,0,0.99959356,4,0.9997539,sds-page (non-reduced) purity
CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 7 => QL,0,0.999564,3,0.96655524,ce-sds (reduced) purity
CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 5 => QL,0,0.99956614,3,0.96655524,ce-sds (reduced) purity
CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 6 => QL,0,0.9995634,3,0.96655524,ce-sds (reduced) purity
CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 4 => QL,0,0.99956673,3,0.96655524,ce-sds (reduced) purity
CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 2 => QL,0,0.99956685,3,0.96655524,ce-sds (reduced) purity
SDS_PAGE,SDS-PAGE (NR) minor band 4 MW=139,0,0.9995915,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=165,0,0.99958795,4,0.9997539,sds-page (non-reduced) purity
CE_SDS,CE-SDS 10 (result) [(Non-Reduced) unknown imp RRT 1.98],0,0.99959177,2,0.9998685,ce-sds (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 2 MW= 178.32 /1,0,0.9995834,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 5 MW= 127.03 /2,0,0.99958426,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 5 MW= 129.49 /1,0,0.9995869,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 8 MW= 44.58 /2,0,0.999585,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 8 MW= 23.71 /1,0,0.99957985,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE Non-Reduced Purity of the Major Band,0,0.99960285,4,0.9999795,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 4 MW= 162.73 /2,0,0.999584,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 9 MW= 27.18 /2,0,0.9995857,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 11 MW= 24.05 /2,0,0.9995877,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 6 MW= 80.79 /2,0,0.99958307,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 7 MW= 51.67 /2,0,0.99958307,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 7 MW= 44.86 /1,0,0.9995865,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 2 MW= 174.85 /2,0,0.9995877,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 6 MW= 81.27 /1,0,0.9995833,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 1 MW= >200 /1,0,0.9995696,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 1 MW= >200 /2,0,0.9995714,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 3 MW= 172.27 /2,0,0.99958163,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 10 MW= 25.76 /2,0,0.99957794,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 9 MW= 13.33 /1,0,0.99958295,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 12 MW= 14.54 /2,0,0.9995851,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 3 MW= 175.30 /1,0,0.9995828,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE (NR) minor band 4 MW= 166.13 /1,0,0.9995832,4,0.9997539,sds-page (non-reduced) purity
ELISA_BINDING_2,Binding (ELISA),4,0.999283,2,0.9999734,potency by binding elisa
SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=131,0,0.9995925,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (R) minor band 1 MW=59,0,0.99959224,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 1 MW = 44,0,0.9995932,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 177,0,0.99959236,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_3 Area of Non-Main Band,0,0.9996043,4,0.9999957,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_1 Area of Non-Main Band,0,0.99960464,4,0.9999957,sds-page (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) Sum of Minor peaks NLT LOQ,0,0.99960464,2,0.92614985,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak NLT LOQ,0,0.99959856,3,0.7366433,ce-sds (reduced) purity
CE_SDS,CE-SDS (Non-reduced) Sum of Minor Peaks NLT LOQ,0,0.99960715,2,0.99999666,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced)  Minor Peak >= QL 2,0,0.99960214,1,0.9999924,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Non-Reduced)  Minor Peak >= QL 1,0,0.9996031,1,0.9999924,ce-sds (non-reduced) hhl
BIO_SE-HPLC,SE-UPLC LMW species,2,0.9995042,6,0.9996587,se-uplc lmw
BIO_SE-HPLC,SE-UPLC HMW species,2,0.9995084,5,0.99918944,se-uplc hmw
CE_SDS_2,CE-SDS (reduced) Sum of all Minor Peaks,0,0.9995995,2,0.99629825,ce-sds (non-reduced) purity
ICIEF,Sum area % acidic peak,1,0.99974114,1,0.9912828,ief acidic peaks
ICIEF,Sum area % basic peak,1,0.9997384,2,0.998097,ief basic peaks
ICIEF,Area% main peak,1,0.9997328,3,0.94895387,ief main peak
CE_SDS,CE-SDS (Reduced)  Minor Peak >= QL 1,0,0.99960047,1,0.99398524,ce-sds (non-reduced) hhl
SE_HPLC,SE-UPLC HMW Species,2,0.99950325,5,0.99818915,se-uplc hmw
SE_HPLC,SE-UPLC Total main peak,2,0.9995017,7,0.99942446,se-uplc monomer
SE_HPLC,SE-UPLC LMW Species,2,0.99950016,6,0.9994338,se-uplc lmw
CE_SDS,CE-SDS (Reduced) Minor Peaks (>LOQ),0,0.9996057,3,0.6058092,ce-sds (reduced) purity
CE_HPLC,CEX Main Peaks,1,0.9997074,9,0.9847453,cex main peak
CE_SDS,CE-SDS (Non-Reduced) RRT of Minor Peak > = LOQ 2,0,0.9996039,2,0.9999988,ce-sds (non-reduced) purity
CE_SDS,RRT~ 2.559,0,0.99948645,2,0.8547231,ce-sds (non-reduced) purity
CE_SDS,RRT~ 2.038,0,0.99948645,2,0.8547231,ce-sds (non-reduced) purity
CE_SDS,RRT~ 1.989,0,0.99948394,2,0.8547231,ce-sds (non-reduced) purity
CE_SDS,RRT~ 1.767,0,0.999476,2,0.8547231,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Sum of Minor peaks >= LOQ,0,0.99960214,2,0.99999905,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) FP1,0,0.99960095,2,0.96858114,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS(Non-Reduced)Sum of all Minor peaks>=LOQ,0,0.99960047,2,0.9999994,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 4,0,0.9996001,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak>=LOQ 3,0,0.9995994,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS,CE-SDS(Reduced) Sum of all Minor peaks>=LOQ,0,0.99959666,2,0.9880933,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) %: Undefined Peak_3>=LOQ,0,0.99959534,3,0.7743326,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) %: Undefined Peak_2>=LOQ,0,0.99959654,3,0.7743326,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) %: Undefined Peak_1>=LOQ,0,0.9995974,3,0.7743326,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 1,0,0.99960846,2,0.99650586,ce-sds (non-reduced) purity
CE_SDS,CGE (Non-Reduced) HL2,0,0.9996057,2,0.9849296,ce-sds (non-reduced) purity
CE_SDS,CGE (Non-Reduced) HL1,0,0.99960285,2,0.73083645,ce-sds (non-reduced) purity
SDS_PAGE,NuPAGE Reduced Non-main band MW 109 kDa,0,0.99954116,4,0.9999877,sds-page (non-reduced) purity
SDS_PAGE,NuPAGE Reduced Non-main band MW 76 kDa,0,0.999539,4,0.9999877,sds-page (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Minor Peaks (>=LOQ) - 2,0,0.9996014,2,0.99967825,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Minor Peaks (>=LOQ) - 3,0,0.9996008,2,0.99967825,ce-sds (non-reduced) purity
